식품인증업소 관리 일련번호,업소번호,업소 명,자치구 코드,자치구 명,업종 코드,업종 명,업태 코드,업태 명,업주 명,식품인증구분,식품인증 구분명,인증일자,사용여부,지도표시여부,식품인증업소 등급,지도 Y좌표,지도 X좌표,전화번호,도로명상세주소,도로명주소코드,도로명주소,허가번호,최초작성일자,최종수정일자,업소인증메뉴,교부번호,인증여부
6230,212,(주)효소원 방배2호점,3210000,서초구,101,일반음식점,10106,뷔페식,김희철,14,채식음식점,2014-01-01,N,Y,,37.47778654,126.9871161,02-584-1820,23-1 1층 (방배동),1.16503E+15,서울특별시 서초구 효령로,3.21E+18,26:18.0,26:18.0,,20110099016,Y
6229,362,아승지,3180000,영등포구,101,일반음식점,10101,한식,박근영,14,채식음식점,2014-01-01,N,Y,,37.50784751,126.9112018,02-832-8443,176 (신길동),1.15603E+15,서울특별시 영등포구 신길로,3.18E+18,23:34.0,23:34.0,,20020087225,Y
6228,166,러빙헛,3120000,서대문구,101,일반음식점,10107,정종/대포집(선술집),김정남,14,채식음식점,2014-01-01,N,Y,,37.55867677,126.9366926,02-322-6441, 33-10호 1층,1.14104E+15,서울특별시 서대문구 창천동,3.12E+18,18:11.0,18:11.0,,19970066158,Y
6227,178,러빙헛,3190000,동작구,101,일반음식점,10101,한식,연아영,14,채식음식점,2014-01-01,N,Y,,37.48681465,126.9681098,7089828501,169 (사당동(1층 102호)),1.15903E+15,서울특별시 동작구 사당로,3.19E+18,17:33.0,17:33.0,,20100091579,Y
6226,10597,초록뜰,3050000,동대문구,101,일반음식점,10101,한식,김복회,14,채식음식점,2014-01-01,N,Y,,37.58962103,127.0623508,02-2213-1878,6 (휘경동(휘경중5길 47)),1.12304E+15,서울특별시 동대문구 망우로18길,3.05E+18,15:23.0,15:23.0,,19990042165,Y
6225,35,공존,3050000,동대문구,104,휴게음식점,10401,과자점,이나기,14,채식음식점,2014-01-01,N,Y,,37.56879293,127.0566511,,43 1층 (답십리동),1.12303E+15,서울특별시 동대문구 전농로,3.05E+18,12:31.0,12:31.0,,20130042263,Y
6224,2100,산도토리임자탕,3090000,도봉구,101,일반음식점,10101,한식,심옥희,14,채식음식점,2014-01-01,N,Y,,37.63963194,127.0401312,02-903-9928,13 (창동),1.13204E+15,서울특별시 도봉구 덕릉로60길,3.09E+18,10:33.0,10:33.0,,19960056187,Y
6223,149,사랑분식점,3220000,강남구,101,일반음식점,10105,분식,허경선,14,채식음식점,2014-01-01,N,Y,,37.47718641,127.048053,,26 (개포동지상1층),1.16804E+15,서울특별시 강남구 개포로20길,3.22E+18,03:40.0,03:40.0,,20100105431,Y
6222,14165,러빙헛 에스엠(SM)채식뷔페,3220000,강남구,101,일반음식점,10101,한식,홍영희,14,채식음식점,2014-01-01,N,Y,,37.47657806,127.0462166,,72 (개포동),1.16803E+15,서울특별시 강남구 논현로,3.22E+18,01:43.0,01:43.0,,19960105808,Y
6221,14165,러빙헛 에스엠(SM)채식뷔페,3220000,강남구,101,일반음식점,10101,한식,홍영희,14,채식음식점,2013-01-01,N,Y,,37.47657806,127.0462166,,72 (개포동),1.16803E+15,서울특별시 강남구 논현로,3.22E+18,57:17.0,57:17.0,,19960105808,Y
6220,695,(주)러빙헛,3220000,강남구,101,일반음식점,10103,경양식,오종철,14,채식음식점,2014-01-01,N,Y,,37.47689752,127.0494366,,35 (개포동지상1층),1.16804E+15,서울특별시 강남구 개포로22길,3.22E+18,51:31.0,51:31.0,,20100106821,Y
2319,127,씨제이푸드빌(주) VIPS대학로점,3000000,종로구,101,일반음식점,10106,뷔페식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.58424955,127.0020288,02-3675-1997,146 지하1층 (혜화동),1.11103E+15,서울특별시 종로구 대학로,3E+18,27:52.0,27:52.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,13456,Y
2318,123,VIPS,3000000,종로구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.56895008,126.9880784,02-2272-3801,386 (관철동),1.11102E+15,서울특별시 종로구 삼일대로,3E+18,15:43.0,15:43.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,11107,Y
2317,7762,개성에프앤비,3220000,강남구,101,일반음식점,10101,한식,김숙자,2,채식메뉴음식점,2013-12-23,N,Y,,37.52484597,127.0248427,02-542-7317,7 (신사동지상2층),1.16804E+15,서울특별시 강남구 압구정로20길,3.22E+18,12:08.0,12:08.0,비빔밥(8000원),6.80001E+12,Y
2316,368,비비고상암점,3130000,마포구,101,일반음식점,10101,한식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.57851271,126.8915873,02-6740-4300,66 (상암동 CJ E&amp;M센터 지하1층),1.14403E+15,서울특별시 마포구 상암산로,3.13E+18,46:33.0,46:33.0,"비비고라이스(8500~12000원) 	 비빔밥	 (8500~12000원) 	 비비고샐러드(8500~12000원)  ",11813,Y
2315,178,러빙헛,3190000,동작구,101,일반음식점,10101,한식,연아영,2,채식메뉴음식점,2013-12-23,N,Y,,37.48681465,126.9681098,7089828501,169 (사당동(1층 102호)),1.15903E+15,서울특별시 동작구 사당로,3.19E+18,45:26.0,45:26.0,"비건쌀국수(8000원)	 ?양살국수(8000원) 	 크림스파게티(8900원) 	 토마토라이스볼스프(7500원) 	 파인애플볶음밥(6900원)  ",8568,Y
2314,217,단아한정식,3190000,동작구,101,일반음식점,10101,한식,김두환,2,채식메뉴음식점,2013-12-23,N,Y,,37.4856569,126.9808146,02-532-3946,44 (사당동영지빌딩 2층),1.15904E+15,서울특별시 동작구 동작대로27가길,3.19E+18,44:19.0,44:19.0,"단아정식	(12000원)	 산정식	(18000원)	 무지개정식	(35000원)	 하늘정식	(50000원) ",8358,Y
2313,294,씨제이푸드빌(주) 피셔스마켓 창동점,3090000,도봉구,101,일반음식점,10106,뷔페식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.65629667,127.039705,02-903-6545,578 2층 (창동 미화빌딩),1.13203E+15,서울특별시 도봉구 도봉로,3.09E+18,43:22.0,43:22.0,샐러드바(성인 L:20570원 D:27280원 W:29480원) ,6822,Y
2312,390,태림산채정식,3090000,도봉구,101,일반음식점,10101,한식,하영순,2,채식메뉴음식점,2013-12-23,N,Y,,37.64998069,127.0342488,02-998-5468,32 (쌍문동),1.13204E+15,서울특별시 도봉구 노해로60길,3.09E+18,42:32.0,42:32.0,산채정식과 더덕구이(15000원),2.32E+13,Y
2311,160,콩사랑,3090000,도봉구,101,일반음식점,10101,한식,임진영,2,채식메뉴음식점,2013-12-23,N,Y,,37.68781919,127.0424564,02-3492-5182,10 (도봉동),1.13204E+15,서울특별시 도봉구 도봉산4길,3.09E+18,41:30.0,41:30.0,"초당순두부	 (6000원)	 이북식콩비지탕 (6000원) ",7748,Y
2310,189,보리보리옥선이시골밥상,3090000,도봉구,101,일반음식점,10101,한식,김옥선,2,채식메뉴음식점,2013-12-23,N,Y,,37.66262279,127.0208855,02-955-0202,283 12층 (방학동),1.13203E+15,서울특별시 도봉구 방학로,3.09E+18,40:37.0,40:37.0,보리밥정식(8000원),8022,Y
2309,5156,도토리마을,3090000,도봉구,101,일반음식점,10101,한식,최명수,2,채식메뉴음식점,2013-12-23,N,Y,,37.68722421,127.0433993,02-954-4755,19 (도봉동),1.13204E+15,서울특별시 도봉구 도봉산길,3.09E+18,40:02.0,40:02.0,도토리비빔밥(6500원) 도토리묵채밥(6500원) ,3772,Y
2308,2562,러빙헛,3120000,서대문구,101,일반음식점,10107,정종/대포집(선술집),김정남,2,채식메뉴음식점,2013-12-23,N,Y,,37.55872723,126.9367107,02-322-6441,35,1.14103E+15,서울특별시 서대문구 연세로,3.12E+18,39:14.0,39:14.0,"콩불구이뚝배기(6000원) 비건채식콩까스(6000원) 짬뽕 소/대(5500/6500원)	 볶음우동 소/대(5500/6500원)	 짜장면 소/대(4500/5500원) ",4867,Y
2307,23,VIPS 신촌현대 U-Plex,3120000,서대문구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.55673775,126.9365585,02-3145-1997,13 11층 (창천동 신촌현대백화점 U-Plex),1.14103E+15,서울특별시 서대문구 연세로,3.12E+18,36:35.0,36:35.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,11989,Y
2306,644,씨제이푸드빌(주)빕스홍대YZ파크점,3130000,마포구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.55723912,126.9249733,02-6740-4254,176 (동교동 YZ파크 6층),1.14403E+15,서울특별시 마포구 양화로,3.13E+18,35:21.0,35:21.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,12875,Y
2305,144,씨제이푸드빌(주)빕스마포역점,3130000,마포구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.53938146,126.944833,02-702-3997,25 (마포동 대농빌딩 2층),1.14402E+15,서울특별시 마포구 마포대로,3.13E+18,34:53.0,34:53.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,9070,Y
2304,427,씨제이푸드빌(주)빕스 대방점,3190000,동작구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.51223284,126.9257694,02-3280-1997,2 (대방동),1.15903E+15,서울특별시 동작구 노량진로,3.19E+18,33:52.0,33:52.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,6124,Y
2303,59,씨제이푸드빌(주) 빕스 창동점,3090000,도봉구,101,일반음식점,10106,뷔페식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.65200883,127.0371507,02-904-1997,526 (창동),1.13203E+15,서울특별시 도봉구 도봉로,3.09E+18,33:11.0,33:11.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,6312,Y
2302,7340,씨제이푸드빌(주)빕스 공릉점,3100000,노원구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.6272621,127.0726229,02-974-9997,1090 (공릉동),1.13503E+15,서울특별시 노원구 동일로,3.1E+18,32:24.0,32:24.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,3.50001E+12,Y
2301,461,씨제이푸드빌(주)빕스구로역점,3160000,구로구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.50382118,126.8816977,02-2105-5727,584 201~207214215216호 (신도림동 신도림펠러티움),1.15303E+15,서울특별시 구로구 경인로,3.16E+18,31:15.0,31:15.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,2006-00461,Y
2300,488,씨제이푸드빌(주)빕스구로디지털단지역점,3160000,구로구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.48428564,126.8992809,02-2105-5727,55 2층 216호 (구로동 코오롱싸이언스밸리),1.15304E+15,서울특별시 구로구 디지털로34길,3.16E+18,30:23.0,30:23.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,2005-00488,Y
2299,10602,오세계향,3000000,종로구,101,일반음식점,10105,분식,이승섭,2,채식메뉴음식점,2013-12-10,N,Y,,37.57468009,126.9852656,02-735-7171,14-5 (관훈동(지상1층)),1.11104E+15,서울특별시 종로구 인사동12길,3E+18,29:21.0,29:21.0,곤드레강된장비빔밥(9000원) 된장들깨시래기찜(8000원) 매실탕수채(15000원) 유린기(15000원) 표고버섯말이(15000원),7091,Y
2298,424,빕스(VIPS) 어린이대공원점,3040000,광진구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.55165218,127.0762071,02-462-0997,239 2층 (군자동),1.12153E+15,서울특별시 광진구 능동로,3.04E+18,28:36.0,28:36.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,8360,Y
2297,368,큰손.김밥.보리밥,3040000,광진구,101,일반음식점,10115,김밥(도시락),손영자,2,채식메뉴음식점,2013-12-23,N,Y,,37.53947636,127.0837711,02-456-2259,8 (구의동),1.12154E+15,서울특별시 광진구 자양로22길,3.04E+18,27:48.0,27:48.0,보리밥(5000원) 콩국수(6000원),8745,Y
2296,321,웰빙멸치국수,3040000,광진구,101,일반음식점,10101,한식,염규숙,2,채식메뉴음식점,2013-12-23,N,Y,,37.53826255,127.0774019,02-456-1516,309 (자양동(1층)),1.12153E+15,서울특별시 광진구 아차산로,3.04E+18,27:01.0,27:01.0,"콩국수	(6000원)	 동치미국수	(4000원)	 열무국수	(4000원)	 비빔국수	(4000원) ",11025,Y
2295,140,씨제이푸드빌(주) 비비고 쌍림점,3010000,중구,101,일반음식점,10101,한식,정문목,2,채식메뉴음식점,2013-12-10,N,Y,,37.56397353,127.0032552,02-6740-7979,330 (쌍림동CJ제일제당빌딩 지하1층),1.11403E+15,서울특별시 중구 동호로,3.01E+18,26:22.0,26:22.0,비비고라이스(8500~12000원) 비빔밥(8500~12000원) 비비고샐러드(8500~12000원),13025,Y
2294,128,소담골두부마을,3040000,광진구,101,일반음식점,10101,한식,황옥순,2,채식메뉴음식점,2013-12-23,N,Y,,37.5396526,127.0842647,02-456-1473,15 (구의동1층),1.12154E+15,서울특별시 광진구 자양로22길,3.04E+18,25:13.0,25:13.0,"곤드레비빔밥(6000원)	 청국장(6000원) 된장찌개(5000원)	 김치순두부찌게(5000원) ",10432,Y
2293,387,씨제이푸드빌(주) 비비고 광화문점,3000000,종로구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-10,N,Y,,37.56970125,126.9749069,02-730-7423,92 (신문로1가광화문오피시아빌딩103호202호),1.11103E+15,서울특별시 종로구 새문안로,3E+18,24:28.0,24:28.0,비비고라이스(8500~12000원) 비빔밥(8500~12000원) 비비고샐러드(8500~12000원) ,10547,Y
2292,310,세븐스프링스(광나루점),3040000,광진구,101,일반음식점,10103,경양식,김준영,2,채식메뉴음식점,2013-12-23,N,Y,,37.54422201,127.1030311,02-2049-7800,563 지하2층 (광장동),1.12153E+15,서울특별시 광진구 아차산로,3.04E+18,23:59.0,23:59.0,"샐러드바(평일점심)(21700원) 샐러드바(평일저녁)(28300원)	 주말 공휴일	(29400원) ",9087,Y
2291,292,씨제이푸드빌(주)씨푸드오션 녹번점,3110000,은평구,101,일반음식점,10104,일식,정문목,2,채식메뉴음식점,2013-12-06,N,Y,,37.6020129,126.927533,02-352-2008,4 지상123층 (녹번동),1.13803E+15,서울특별시 은평구 서오릉로,3.11E+18,21:50.0,21:50.0,샐러드바(성인 L:21890원 D:27390원 W:29590원),7062,Y
2290,97,씨제이푸드빌(주)씨푸드오션대림점,3180000,영등포구,101,일반음식점,10104,일식,정문목,2,채식메뉴음식점,2013-12-28,N,Y,,37.48929365,126.9061038,02-6244-7315,70 (대림동외2필지 23층),1.15603E+15,서울특별시 영등포구 대림로,3.18E+18,18:00.0,18:00.0,샐러드바(성인 L:21890원 D:27390원 W:29590원) ,10811,Y
2289,4026,러빙헛,3040000,광진구,101,일반음식점,10106,뷔페식,이승섭,2,채식메뉴음식점,2013-12-23,N,Y,,37.55235597,127.090114,02-453-2112,659 (구의동),1.12152E+15,서울특별시 광진구 천호대로,3.04E+18,17:09.0,17:09.0,"현미떡볶이(5000원)	 들깨칼국수(6000원) 불구이 뚝배기(6000원) 들깨수제비(6000원) 매운순두부찌게(6000원) 유기농현미비빕밥(6000원) 된장들깨시래기찜(6000원) 우엉들깨탕(6000원)	 곤드레강된장비빔밥(7000원)	 너비아니쌈밥(콩고기)(9000원) ",1258,Y
2288,13,씨제이푸드빌(주)빕스 상봉역점,3060000,중랑구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-12,N,Y,,37.59573947,127.0818458,02-491-1997,263 (상봉동외 2필지),1.12603E+15,서울특별시 중랑구 망우로,3.06E+18,15:54.0,15:54.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),10504,Y
2287,194,씨제이푸드빌(주) 빕스버거 씨제이푸드월드점,3010000,중구,101,일반음식점,10199,기타(일반음식점),정문목,2,채식메뉴음식점,2013-12-19,N,Y,,37.56397353,127.0032552,02-1577-0700,330 지하1층 (쌍림동 CJ제일제당빌딩),1.11403E+15,서울특별시 중구 동호로,3.01E+18,14:51.0,14:51.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),13473,Y
2286,358,씨제이푸드빌(주)빕스 사당역점,3200000,관악구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.47437636,126.9814325,02-3472-1997,939 (남현동르메이에르 3층),1.16202E+15,서울특별시 관악구 과천대로,3.2E+18,14:06.0,14:06.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),11114,Y
2285,301,빕스 봉천역점,3200000,관악구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.48266635,126.9401171,02-882-0254,1712 지상1234층 (봉천동),1.16202E+15,서울특별시 관악구 남부순환로,3.2E+18,13:32.0,13:32.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),10445,Y
2284,75,씨제이푸드빌(주)비비고 서울대점,3200000,관악구,101,일반음식점,10101,한식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.46803851,126.959296,02-6740-4300,1 (신림동서울대학교 교육연구동(2단지) 지상1층(500동)),1.16203E+15,서울특별시 관악구 관악로,3.2E+18,12:44.0,12:44.0,"비비고라이스(8500~12000원) 	 비빔밥(8500~12000원) 	 비비고샐러드(8500~12000원) 	 ",11866,Y
2283,297,빕스명동중앙점,3010000,중구,101,일반음식점,10106,뷔페식,정문목,2,채식메뉴음식점,2013-12-17,N,Y,,37.56409158,126.9851771,02-779-7871,53 3층 (명동1가),1.11404E+15,서울특별시 중구 명동길,3.01E+18,12:43.0,12:43.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),13575,Y
2282,490,씨제이푸드빌(주)빕스명동점,3010000,중구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-20,N,Y,,37.56246244,126.984109,02-778-1997,25 (명동2가외2필지(지상2층)),1.11404E+15,서울특별시 중구 명동4길,3.01E+18,11:45.0,11:45.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),10839,Y
2281,33,빕스 동묘점,3000000,종로구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-11,N,Y,,37.57405644,127.0160022,02-747-1997,347 지하1지상1층 (숭인동),1.11103E+15,서울특별시 종로구 종로,3E+18,09:53.0,09:53.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),10649,Y
2280,3594,씨제이푸드빌(주)빕스등촌점,3150000,강서구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.55854142,126.8421846,02-3661-1997,311 23층 (등촌동 3동),1.15002E+15,서울특별시 강서구 공항대로,3.15E+18,09:38.0,09:38.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,2228,Y
2279,11191,씨제이푸드빌(주)빕스올림픽점,3240000,강동구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.52686072,127.1227326,02-477-3997,143-8 (성내동),1.17402E+15,서울특별시 강동구 강동대로,3.24E+18,08:49.0,08:49.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,7823,Y
2278,47,씨제이푸드빌(주)빕스(고덕역점),3240000,강동구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.55462158,127.1541042,02-428-2997,256 (명일동명성프라자 2층),1.17403E+15,서울특별시 강동구 고덕로,3.24E+18,06:59.0,06:59.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,12488,Y
2277,305,씨제이푸드빌(주) 빕스 불광역점,3110000,은평구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-19,N,Y,,37.61308823,126.9281339,02-358-8997,760 지상2층 (불광동),1.13803E+15,서울특별시 은평구 통일로,3.11E+18,06:54.0,06:54.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),5845,Y
2276,161,씨제이푸드빌(주)빕스강동역점,3240000,강동구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.53521137,127.1325716,02-472-2997,1092 (성내동SK허브진2층),1.17402E+15,서울특별시 강동구 천호대로,3.24E+18,05:59.0,05:59.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,12601,Y
2275,113,우담소,3240000,강동구,101,일반음식점,10101,한식,이성용,2,채식메뉴음식점,2013-12-23,N,Y,,37.54134972,127.1252955,02-473-7878,6,1.17404E+15,서울특별시 강동구 구천면로21길,3.24E+18,05:25.0,05:25.0,새싹야채비빔밥(6000원),13528,Y
2274,152,씨제이푸드빌(주)빕스서여의도점,3180000,영등포구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-16,N,Y,,37.53093101,126.9210852,02-786-1997,800 (여의도동진미빌딩 지상1층 지하1층),1.15602E+15,서울특별시 영등포구 국회대로,3.18E+18,05:04.0,05:04.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),9493,Y
2273,393,보릿골강동점,3240000,강동구,101,일반음식점,10101,한식,김광섭,2,채식메뉴음식점,2013-12-23,N,Y,,37.53719143,127.1522806,02-478-1518,708 (둔촌동23층),1.17403E+15,서울특별시 강동구 동남로,3.24E+18,04:14.0,04:14.0,보리밥정식(7000원),11587,Y
2272,16,씨제이푸드빌(주)빕스신정점,3140000,양천구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-20,N,Y,,37.52210511,126.8593746,02-2607-1997,347 123층 (신정동),1.14703E+15,서울특별시 양천구 신월로,3.14E+18,03:15.0,03:15.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),9358,Y
2271,444,씨제이푸드빌(주)빕스청담점,3220000,강남구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.52019,127.055456,02-3442-2997,519 지상12층 (청담동),1.16803E+15,서울특별시 강남구 학동로,3.22E+18,03:14.0,03:14.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),44853,Y
2270,5,씨제이푸드빌(주)빕스목동cbs점,3140000,양천구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-19,N,Y,,37.52823146,126.8749934,02-2652-1997,159-1 지하1층지상12층 (목동 기독교방송국),1.14703E+15,서울특별시 양천구 목동서로,3.14E+18,02:02.0,02:02.0,샐러드바(성인 L:20600원 D:27900원 W:29900원),9824,Y
2269,1058,씨제이푸드빌(주)빕스도곡역점,3220000,강남구,101,일반음식점,10103,경양식,정문목,2,채식메뉴음식점,2013-12-23,N,Y,,37.49160529,127.058004,02-569-1997,2912,1.16802E+15,서울특별시 강남구 남부순환로,3.22E+18,01:54.0,01:54.0,샐러드바(성인 L:20600원 D:27900원 W:29900원) ,20407,Y
2268,705,씨제이푸드빌(주) 빕스 강남역점,3220000,강남구,101,일반음식점,10103,경양식,김일천,2,채식메뉴음식점,2013-12-23,N,Y,,37.49921361,127.0275348,02-558-7415, 408 신성빌딩 3층,1.16802E+15,서울특별시 강남구 강남대로,3.22E+18,01:12.0,01:12.0,샐러드바(성인 L:20600원 D:27900원 W:29900원)   ,23835,Y
